titles,source,file
"В России 30 докторов, увечивших людей с простатитом, были сразу отправлены в...",clickbait,three_website_yellow_titles
"А как же Алла? Галкин лишился дара речи, увидев «прелести» Ольги Бузовой",clickbait,three_website_yellow_titles
"У кого диабет, прочтите - пока не удалили! За 3 дня этот продукт снижает сахар до 4.7 ммоль/л...",clickbait,three_website_yellow_titles
Темникова оценила заявление о ее романе с Серябкиной,clickbait,three_website_yellow_titles
В НАТО нашли оружие против российских ракет,clickbait,three_website_yellow_titles
Савченко дала совет украинцам,clickbait,three_website_yellow_titles
Сделано откровенное заявление об опасности Крымского моста,clickbait,three_website_yellow_titles
Патологоанатомы пришли в ужас от суставов Юлии Началовой. Врачи признали: У Юли была запущенная...,clickbait,three_website_yellow_titles
"Мама стала выглядеть моложе своей дочери! Внимание, за 4 дня стирает 15 лет с лица! Запиши рецепт...",clickbait,three_website_yellow_titles
"Диабетики запомните навсегда, сахар будет менее 5,5 ммоль/л, если раз в день съедать 35 гр сушёного...",clickbait,three_website_yellow_titles
"Предупреждение для России: Обнаружен новый паразитарный вирус. Если чувствуете слабость, срочно...",clickbait,three_website_yellow_titles
США боятся «ядерных недоразумений»,clickbait,three_website_yellow_titles
Александр Цекало женился в четвертый раз,clickbait,three_website_yellow_titles
Смерть по талону: когда медицина впадет в кому,clickbait,three_website_yellow_titles
Названы условия третьего Майдана в Украине,clickbait,three_website_yellow_titles
"Китайский способ лечения слуха. Глухота и шум в ушах исчезнут раз и навсегда, если срочно дома...",clickbait,three_website_yellow_titles
"Геморрой уйдет за 7 дней, если по утрам съедать 2 зубчика простого...",clickbait,three_website_yellow_titles
Варикоз лечится за 5 дней без операции! Возьмите дешевый...,clickbait,three_website_yellow_titles
"От диабетиков пытались скрыть, что с 15 октября они должны получать на руки до 520...",clickbait,three_website_yellow_titles
Британцев напугало видео Минобороны РФ,clickbait,three_website_yellow_titles
"При сахаре свыше 6,2 ммоль/л, срочно понижайте уровень. Простой способ: раз в день съедайте обычную...",clickbait,three_website_yellow_titles
Эта ужасная косточка на стопе не давала мне покоя! Подруга посоветовала на ночь...,clickbait,three_website_yellow_titles
Брутальные норвежцы до 100 лет имеют потенцию 18-летних! Всё потому что в их рационе...,clickbait,three_website_yellow_titles
Госдолг США установил абсолютный рекорд,clickbait,three_website_yellow_titles
"Чтобы удовлетворять жену часами, не забудьте эту маленькую хитрость...",clickbait,three_website_yellow_titles
